gene,module
ENSG00000151692,42
ENSG00000198258,42
ENSG00000129484,42
ENSG00000132313,42
ENSG00000167601,42
ENSG00000172172,42
ENSG00000105364,42
ENSG00000104517,42
ENSG00000105726,42
ENSG00000138081,42
ENSG00000154582,42
ENSG00000104529,42
ENSG00000147669,42
ENSG00000046774,42
ENSG00000172590,42
ENSG00000169139,42
ENSG00000140044,42
ENSG00000121749,42
ENSG00000155463,42
ENSG00000120662,42
ENSG00000169136,42
ENSG00000095002,42
ENSG00000041357,42
ENSG00000056586,42
ENSG00000135119,42
ENSG00000173436,42
ENSG00000165502,42
ENSG00000117472,42
ENSG00000101109,42
ENSG00000122026,42
ENSG00000163512,42
ENSG00000215021,42
ENSG00000158290,42
ENSG00000134809,42
ENSG00000130312,42
ENSG00000175575,42
ENSG00000232119,42
ENSG00000174547,42
ENSG00000182154,42
ENSG00000136888,42
ENSG00000120333,42
ENSG00000105677,42
ENSG00000162543,42
ENSG00000174917,42
ENSG00000136144,42
ENSG00000158042,42
ENSG00000114388,42
ENSG00000187147,42
ENSG00000182568,43
ENSG00000107833,43
ENSG00000254772,43
ENSG00000204388,43
ENSG00000203880,43
ENSG00000114374,43
ENSG00000112039,44
ENSG00000170458,45
ENSG00000186283,45
ENSG00000110046,45
ENSG00000030110,45
ENSG00000111671,45
ENSG00000182362,45
ENSG00000003402,45
ENSG00000110446,45
ENSG00000155629,45
ENSG00000166896,45
ENSG00000152484,45
ENSG00000154920,45
ENSG00000155792,45
ENSG00000123091,45
ENSG00000204371,45
ENSG00000181652,45
ENSG00000152348,45
ENSG00000030582,45
ENSG00000153832,45
ENSG00000099785,45
ENSG00000135245,45
ENSG00000185972,45
ENSG00000112659,45
ENSG00000282419,45
ENSG00000119782,45
ENSG00000198925,45
ENSG00000197429,45
ENSG00000163719,45
ENSG00000174080,45
ENSG00000168610,45
ENSG00000260916,45
ENSG00000173418,45
ENSG00000135114,45
ENSG00000240065,45
ENSG00000139112,45
ENSG00000011422,45
ENSG00000265491,45
ENSG00000113194,46
ENSG00000167779,46
ENSG00000122257,46
ENSG00000165496,46
ENSG00000181610,46
ENSG00000044574,46
ENSG00000155090,46
ENSG00000176386,46
ENSG00000119048,46
ENSG00000132356,46
ENSG00000109079,46
ENSG00000055950,46
ENSG00000083520,46
ENSG00000136940,46
ENSG00000179041,46
ENSG00000145912,46
ENSG00000108061,46
ENSG00000164934,46
ENSG00000175768,46
ENSG00000148229,46
ENSG00000102738,46
ENSG00000113712,46
ENSG00000108651,46
ENSG00000165886,46
ENSG00000133119,46
ENSG00000119335,46
ENSG00000095794,46
ENSG00000096717,46
ENSG00000103264,46
ENSG00000108094,46
ENSG00000122692,46
ENSG00000136816,46
ENSG00000170312,46
ENSG00000136997,46
ENSG00000140057,46
ENSG00000165572,46
ENSG00000112029,46
ENSG00000065665,46
ENSG00000107897,46
ENSG00000070367,46
ENSG00000079950,46
ENSG00000057663,46
ENSG00000156735,46
ENSG00000102547,46
ENSG00000176953,46
ENSG00000180008,46
ENSG00000050130,46
ENSG00000130935,46
ENSG00000251258,46
ENSG00000136738,46
ENSG00000189401,46
ENSG00000104691,46
ENSG00000100811,46
ENSG00000274070,46
ENSG00000177971,46
ENSG00000179119,46
ENSG00000183496,46
ENSG00000147381,46
ENSG00000102158,46
ENSG00000154710,46
ENSG00000221867,46
ENSG00000100664,46
ENSG00000213401,46
ENSG00000174010,46
ENSG00000106636,46
ENSG00000162231,46
ENSG00000139233,46
ENSG00000140319,46
ENSG00000176410,46
ENSG00000091136,46
ENSG00000197172,46
ENSG00000033050,46
ENSG00000164535,46
ENSG00000183475,46
ENSG00000100814,46
ENSG00000125352,46
ENSG00000162191,46
ENSG00000104129,46
ENSG00000015153,46
ENSG00000169371,46
ENSG00000106346,46
ENSG00000102265,46
ENSG00000166471,46
ENSG00000128463,46
ENSG00000106459,46
ENSG00000126953,46
ENSG00000131263,46
ENSG00000104131,46
ENSG00000085224,46
ENSG00000132275,46
ENSG00000105879,46
ENSG00000126524,46
ENSG00000103657,46
ENSG00000196655,46
ENSG00000137825,46
ENSG00000132286,46
ENSG00000185591,46
ENSG00000165861,46
ENSG00000197498,46
ENSG00000002016,46
ENSG00000214253,46
ENSG00000103353,46
ENSG00000059804,46
ENSG00000204264,46
ENSG00000137193,46
ENSG00000152465,46
ENSG00000133703,46
ENSG00000146282,46
ENSG00000148572,46
ENSG00000196586,46
ENSG00000124562,46
ENSG00000236444,46
ENSG00000023287,46
ENSG00000173334,46
ENSG00000204315,46
ENSG00000129696,46
ENSG00000132952,46
ENSG00000258102,46
ENSG00000170734,46
ENSG00000136827,46
ENSG00000112343,46
ENSG00000204220,46
ENSG00000165406,46
ENSG00000140691,46
ENSG00000103066,46
ENSG00000168411,46
ENSG00000133606,46
ENSG00000089234,46
ENSG00000175197,46
ENSG00000198681,46
ENSG00000123395,46
ENSG00000175224,46
ENSG00000166170,46
ENSG00000196998,46
ENSG00000136048,46
ENSG00000006327,46
ENSG00000102393,46
ENSG00000146278,46
ENSG00000185345,46
ENSG00000124900,46
ENSG00000118515,46
ENSG00000135341,46
ENSG00000049130,46
ENSG00000112200,46
ENSG00000139323,46
ENSG00000155975,46
ENSG00000134574,46
ENSG00000165006,46
ENSG00000156261,46
ENSG00000069345,46
ENSG00000176641,46
ENSG00000144655,46
ENSG00000119231,46
ENSG00000125037,46
ENSG00000101695,46
ENSG00000227500,46
ENSG00000099860,46
ENSG00000087074,46
ENSG00000206418,46
ENSG00000163159,46
ENSG00000174521,46
ENSG00000078142,46
ENSG00000075975,46
ENSG00000143106,46
ENSG00000180667,46
ENSG00000104856,46
ENSG00000131791,46
ENSG00000134242,46
ENSG00000124216,46
ENSG00000232423,46
ENSG00000196455,46
ENSG00000168028,46
ENSG00000163728,46
ENSG00000130311,46
ENSG00000076242,46
ENSG00000134248,46
ENSG00000178502,46
ENSG00000116514,46
ENSG00000072134,46
ENSG00000143183,46
ENSG00000170185,46
ENSG00000163131,46
ENSG00000109534,46
ENSG00000138646,46
ENSG00000141564,46
ENSG00000088356,46
ENSG00000081721,46
ENSG00000100030,46
ENSG00000128276,46
ENSG00000164031,46
ENSG00000025800,46
ENSG00000145414,46
ENSG00000198498,46
ENSG00000143742,46
ENSG00000067048,46
ENSG00000174371,46
ENSG00000196289,46
ENSG00000176979,46
ENSG00000100138,46
ENSG00000116663,46
ENSG00000125730,46
ENSG00000143882,46
ENSG00000105643,46
ENSG00000082153,46
ENSG00000138100,46
ENSG00000115364,46
ENSG00000159399,46
ENSG00000127452,46
ENSG00000197019,46
ENSG00000173960,46
ENSG00000125656,46
ENSG00000128708,46
ENSG00000085978,46
ENSG00000013275,46
ENSG00000204673,46
ENSG00000129355,46
ENSG00000163481,46
ENSG00000198356,46
ENSG00000142546,46
ENSG00000126458,46
ENSG00000163516,46
ENSG00000167671,46
ENSG00000065135,46
ENSG00000115866,46
ENSG00000162772,46
ENSG00000163811,46
ENSG00000118162,46
ENSG00000142867,46
ENSG00000066044,46
ENSG00000142784,46
ENSG00000130309,46
ENSG00000163577,46
ENSG00000163960,46
ENSG00000169905,46
ENSG00000163961,46
ENSG00000152492,46
ENSG00000134108,46
ENSG00000105202,46
ENSG00000132661,46
ENSG00000144848,46
ENSG00000144566,46
ENSG00000168301,46
ENSG00000116062,46
ENSG00000153094,46
ENSG00000168958,46
ENSG00000138069,46
ENSG00000105576,46
ENSG00000101407,46
ENSG00000181449,46
ENSG00000250374,46
ENSG00000141682,46
ENSG00000145782,46
ENSG00000092969,46
ENSG00000128250,46
ENSG00000108654,46
ENSG00000185686,46
ENSG00000128253,46
ENSG00000173926,46
ENSG00000063978,46
ENSG00000164305,46
ENSG00000040633,46
ENSG00000073536,46
ENSG00000204501,46
ENSG00000113569,46
ENSG00000179859,46
ENSG00000109670,46
ENSG00000242485,46
ENSG00000177370,46
ENSG00000168591,46
ENSG00000198911,46
ENSG00000090621,46
ENSG00000172007,46
ENSG00000130770,46
ENSG00000109083,46
ENSG00000160201,46
ENSG00000143384,46
ENSG00000243725,46
ENSG00000126698,46
ENSG00000150457,47
ENSG00000139618,47
ENSG00000160714,47
ENSG00000008952,47
ENSG00000156256,47
ENSG00000128654,48
ENSG00000117461,48
ENSG00000158062,48
ENSG00000012963,48
ENSG00000138398,48
ENSG00000100575,48
ENSG00000172671,48
ENSG00000170027,48
ENSG00000106538,48
ENSG00000067704,48
ENSG00000117222,48
ENSG00000075336,48
ENSG00000104756,48
ENSG00000166348,48
ENSG00000118655,48
ENSG00000083635,48
ENSG00000180061,48
ENSG00000177034,48
ENSG00000126775,48
ENSG00000166199,48
ENSG00000163376,48
ENSG00000197579,48
ENSG00000135972,48
ENSG00000164287,48
ENSG00000099958,48
ENSG00000150967,48
ENSG00000048544,48
ENSG00000061794,48
ENSG00000156171,48
ENSG00000182831,48
ENSG00000182308,48
ENSG00000124659,48
ENSG00000139832,49
ENSG00000120925,49
ENSG00000113558,49
ENSG00000156831,49
ENSG00000152193,49
ENSG00000128731,49
ENSG00000099968,49
ENSG00000114737,49
ENSG00000064933,49
ENSG00000090520,49
ENSG00000221988,49
ENSG00000159720,49
ENSG00000077152,49
ENSG00000161921,49
ENSG00000156374,49
ENSG00000115009,49
ENSG00000081870,49
ENSG00000163002,49
ENSG00000171621,49
ENSG00000130349,49
ENSG00000164162,49
ENSG00000099940,49
ENSG00000139197,49
ENSG00000257218,50
ENSG00000121741,50
ENSG00000104881,50
ENSG00000136014,50
ENSG00000243927,50
ENSG00000120696,50
ENSG00000127870,50
ENSG00000110931,50
ENSG00000157557,50
ENSG00000102805,50
ENSG00000221983,50
ENSG00000105700,50
ENSG00000105701,50
ENSG00000184900,50
ENSG00000105325,50
ENSG00000136100,50
ENSG00000139517,50
ENSG00000139144,50
ENSG00000130255,50
ENSG00000100300,50
ENSG00000134905,50
ENSG00000100083,50
ENSG00000100330,50
ENSG00000134882,50
ENSG00000087088,50
ENSG00000007047,50
ENSG00000099949,50
ENSG00000134285,50
ENSG00000062822,50
ENSG00000065150,50
ENSG00000198300,50
ENSG00000100401,50
ENSG00000167470,50
ENSG00000150907,50
ENSG00000077463,50
ENSG00000105229,50
ENSG00000196072,50
ENSG00000167658,50
ENSG00000182944,50
ENSG00000167657,50
ENSG00000136156,50
ENSG00000204977,50
ENSG00000136167,50
ENSG00000136161,50
ENSG00000125247,50
ENSG00000100219,50
ENSG00000107566,50
ENSG00000196365,50
ENSG00000189306,50
ENSG00000138942,50
ENSG00000148773,50
ENSG00000154719,50
ENSG00000102710,50
ENSG00000130203,50
ENSG00000196419,50
ENSG00000100519,50
ENSG00000079999,50
ENSG00000151136,50
ENSG00000275993,50
ENSG00000104969,50
ENSG00000119599,50
ENSG00000130175,50
ENSG00000105669,50
ENSG00000105011,50
ENSG00000100647,50
ENSG00000160410,50
ENSG00000171223,50
ENSG00000107521,50
ENSG00000118939,50
ENSG00000197930,50
ENSG00000104774,50
ENSG00000139921,50
ENSG00000189046,50
ENSG00000138326,50
ENSG00000142541,50
ENSG00000080823,50
ENSG00000011304,50
ENSG00000090674,50
ENSG00000135093,50
ENSG00000104980,50
ENSG00000196663,50
ENSG00000070010,50
ENSG00000100764,50
ENSG00000066739,50
ENSG00000139977,50
ENSG00000174405,50
ENSG00000130734,50
ENSG00000166986,50
ENSG00000180628,50
ENSG00000130204,50
ENSG00000150093,50
ENSG00000100099,50
ENSG00000100335,50
ENSG00000154734,50
ENSG00000152457,50
ENSG00000095787,50
ENSG00000173141,50
ENSG00000131100,50
ENSG00000019995,50
ENSG00000150401,50
ENSG00000005810,50
ENSG00000132963,50
ENSG00000184787,50
ENSG00000155304,50
ENSG00000089351,50
ENSG00000185658,50
ENSG00000148737,50
ENSG00000169062,50
ENSG00000015475,50
ENSG00000102471,50
ENSG00000120694,50
ENSG00000139842,50
ENSG00000139719,50
ENSG00000133112,50
ENSG00000135446,50
ENSG00000172270,50
ENSG00000179218,50
ENSG00000160888,50
ENSG00000132972,50
ENSG00000107562,50
ENSG00000138303,50
ENSG00000079332,50
ENSG00000135677,50
ENSG00000177169,50
ENSG00000166598,50
ENSG00000099817,50
ENSG00000188026,50
ENSG00000139372,50
ENSG00000099991,50
ENSG00000100292,50
ENSG00000177889,50
ENSG00000186298,50
ENSG00000186815,50
ENSG00000151176,50
ENSG00000111540,50
ENSG00000229117,50
ENSG00000105223,50
ENSG00000100263,50
ENSG00000139131,50
ENSG00000123374,50
ENSG00000022840,50
ENSG00000167461,50
ENSG00000074590,50
ENSG00000110911,50
ENSG00000185344,50
ENSG00000068903,50
ENSG00000012504,50
ENSG00000245848,50
ENSG00000130921,50
ENSG00000100029,50
ENSG00000142273,50
ENSG00000087448,50
ENSG00000063046,50
ENSG00000152137,50
ENSG00000139278,50
ENSG00000104825,50
ENSG00000183735,50
ENSG00000120833,50
ENSG00000100311,50
ENSG00000102189,50
ENSG00000198355,50
ENSG00000186654,50
ENSG00000135404,50
ENSG00000123349,50
ENSG00000094914,50
ENSG00000129824,50
ENSG00000198692,50
ENSG00000196236,50
ENSG00000111481,50
ENSG00000111639,50
ENSG00000128228,50
ENSG00000079805,50
ENSG00000111640,50
ENSG00000123358,50
ENSG00000128626,50
ENSG00000198015,50
ENSG00000104805,50
ENSG00000111667,50
ENSG00000223573,50
ENSG00000183207,50
ENSG00000104835,50
ENSG00000135503,50
ENSG00000184575,50
ENSG00000100023,50
ENSG00000141971,50
ENSG00000161243,50
ENSG00000111725,50
ENSG00000125740,50
ENSG00000065717,50
ENSG00000120686,50
ENSG00000089248,50
ENSG00000100284,50
ENSG00000276043,50
ENSG00000139324,50
ENSG00000100353,50
ENSG00000135506,50
ENSG00000187109,50
ENSG00000126749,50
ENSG00000184967,50
ENSG00000087470,50
ENSG00000123415,50
ENSG00000005175,50
ENSG00000127666,50
ENSG00000133704,50
ENSG00000075188,50
ENSG00000165714,50
ENSG00000177981,50
ENSG00000011485,50
ENSG00000105640,50
ENSG00000130726,50
ENSG00000130725,50
ENSG00000102753,50
ENSG00000010278,50
ENSG00000130724,50
ENSG00000185022,50
ENSG00000105372,50
ENSG00000130479,50
ENSG00000184344,50
ENSG00000089053,50
ENSG00000139726,50
ENSG00000102575,50
ENSG00000111652,50
ENSG00000111445,50
ENSG00000130513,50
ENSG00000111300,50
ENSG00000004478,50
ENSG00000086544,50
ENSG00000111358,50
ENSG00000111361,50
ENSG00000142002,50
ENSG00000083845,50
ENSG00000130816,50
ENSG00000100216,50
ENSG00000136045,50
ENSG00000111057,50
ENSG00000076513,50
ENSG00000246705,50
ENSG00000139055,50
ENSG00000111530,50
ENSG00000128272,50
ENSG00000121316,50
ENSG00000104946,50
ENSG00000110917,50
ENSG00000100368,50
ENSG00000142230,50
ENSG00000067182,50
ENSG00000198431,50
ENSG00000170633,50
ENSG00000100154,50
ENSG00000099341,50
ENSG00000105612,50
ENSG00000089159,50
ENSG00000089154,50
ENSG00000135441,50
ENSG00000135679,50
ENSG00000166888,50
ENSG00000135108,50
ENSG00000089009,50
ENSG00000100380,50
ENSG00000076924,50
ENSG00000132383,50
ENSG00000054983,50
ENSG00000072849,50
ENSG00000108559,50
ENSG00000174231,50
ENSG00000181523,50
ENSG00000162063,50
ENSG00000087191,50
ENSG00000004779,50
ENSG00000278845,50
ENSG00000274211,50
ENSG00000033627,50
ENSG00000103356,50
ENSG00000011295,50
ENSG00000103365,50
ENSG00000103043,50
ENSG00000074071,50
ENSG00000182446,50
ENSG00000182810,50
ENSG00000108561,50
ENSG00000049283,50
ENSG00000108375,50
ENSG00000140992,50
ENSG00000172809,50
ENSG00000007520,50
ENSG00000173918,50
ENSG00000258429,50
ENSG00000062725,50
ENSG00000076604,50
ENSG00000132612,50
ENSG00000270647,50
ENSG00000197170,50
ENSG00000136485,50
ENSG00000166971,50
ENSG00000108523,50
ENSG00000167085,50
ENSG00000083799,50
ENSG00000184557,50
ENSG00000108588,50
ENSG00000278619,50
ENSG00000131165,50
ENSG00000051108,50
ENSG00000261609,50
ENSG00000173821,50
ENSG00000065427,50
ENSG00000108591,50
ENSG00000124422,50
ENSG00000125691,50
ENSG00000108946,50
ENSG00000103423,50
ENSG00000141510,50
ENSG00000126602,50
ENSG00000103187,50
ENSG00000118894,50
ENSG00000220205,50
ENSG00000141639,50
ENSG00000103111,50
ENSG00000087245,50
ENSG00000102921,50
ENSG00000153443,50
ENSG00000091164,50
ENSG00000141665,50
ENSG00000134419,50
ENSG00000101773,50
ENSG00000070770,50
ENSG00000175662,50
ENSG00000072310,50
ENSG00000159461,50
ENSG00000169727,50
ENSG00000173805,50
ENSG00000108733,50
ENSG00000035862,50
ENSG00000132470,50
ENSG00000161960,50
ENSG00000090861,50
ENSG00000178952,50
ENSG00000189091,50
ENSG00000157349,50
ENSG00000141376,50
ENSG00000089280,50
ENSG00000171298,50
ENSG00000184110,50
ENSG00000062716,50
ENSG00000108443,50
ENSG00000169682,50
ENSG00000170832,50
ENSG00000176046,50
ENSG00000167977,50
ENSG00000173812,50
ENSG00000126581,50
ENSG00000132581,50
ENSG00000108344,50
ENSG00000109111,50
ENSG00000109113,50
ENSG00000182473,50
ENSG00000167721,50
ENSG00000109046,50
