Gene,Biological Function,Subprocess,ENSEMBL,Hallmark
PEA15,Other,Other,ENSG00000162734,Autophagy
PELP1,Other,Other,ENSG00000141456,Autophagy
PEX14,Other,Other,ENSG00000142655,Autophagy
PEX3,Other,Other,ENSG00000034693,Autophagy
PPP1R15A,Other,Other,ENSG00000087074,Autophagy
PRKAR1A,Other,Other,ENSG00000108946,Autophagy
PRKCD,Other,Other,ENSG00000163932,Autophagy
PRKCQ,Other,Other,ENSG00000065675,Autophagy
PTEN,Other,Other,ENSG00000171862,Autophagy
PTK6,Other,Other,ENSG00000101213,Autophagy
RAC1,Other,Other,ENSG00000136238,Autophagy
RAF1,Other,Other,ENSG00000132155,Autophagy
RB1,Other,Other,ENSG00000139687,Autophagy
RGS19,Other,Other,ENSG00000171700,Autophagy
SAR1A,Other,Other,ENSG00000079332,Autophagy
SERPINA1,Other,Other,ENSG00000277377,Autophagy
SPHK1,Other,Other,ENSG00000176170,Autophagy
SPNS1,Other,Other,ENSG00000169682,Autophagy
ST13,Other,Other,ENSG00000100380,Autophagy
TNFSF10,Other,Other,ENSG00000121858,Autophagy
TP53INP2,Other,Other,ENSG00000078804,Autophagy
TP63,Other,Other,ENSG00000073282,Autophagy
TP73,Other,Other,ENSG00000078900,Autophagy
TUSC1,Other,Other,ENSG00000198680,Autophagy
VEGFA,Other,Other,ENSG00000112715,Autophagy
