,Gene,Hallmark,Subprocess,ENSEMBL,ENSEMBL_mice
108,SATB1,Senescence,Cell cycle arrest,ENSG00000182568,ENSMUSG00000023927
109,SPP1,Senescence,SASP_Secreted,ENSG00000118785,ENSMUSG00000029304
110,TIMP2,Senescence,SASP_Secreted,ENSG00000035862,ENSMUSG00000017466
111,ADAMTS13,Senescence,SASP,ENSG00000281244,ENSMUSG00000014852
112,ALCAM,Senescence,SASP,ENSG00000170017,ENSMUSG00000022636
113,B2M,Senescence,SASP,ENSG00000273686,ENSMUSG00000060802
114,BGN,Senescence,SASP,ENSG00000182492,ENSMUSG00000031375
115,BMP6,Senescence,SASP_Secreted,ENSG00000153162,ENSMUSG00000039004
116,CCL1,Senescence,SASP_Secreted,ENSG00000108702,ENSMUSG00000020702
117,CCL17,Senescence,SASP,ENSG00000102970,ENSMUSG00000031780
118,CCL18,Senescence,SASP,ENSG00000278167,
119,CCL22,Senescence,SASP,ENSG00000102962,ENSMUSG00000031779
120,CCL26,Senescence,SASP_Secreted,ENSG00000006606,ENSMUSG00000070464
121,CLEC11A,Senescence,SASP,ENSG00000105472,ENSMUSG00000004473
122,COTL1,Senescence,SASP,ENSG00000103187,ENSMUSG00000031827
123,CST3,Senescence,SASP,ENSG00000101439,ENSMUSG00000027447
124,CTSB,Senescence,SASP_Secreted,ENSG00000164733,ENSMUSG00000021939
125,CTSD,Senescence,SASP,ENSG00000117984,ENSMUSG00000007891
126,CTSZ,Senescence,SASP,ENSG00000101160,ENSMUSG00000016256
127,CXCL16,Senescence,SASP_Secreted,ENSG00000161921,ENSMUSG00000018920
128,FGF2,Senescence,SASP_Secreted,ENSG00000138685,ENSMUSG00000037225
129,FLNA,Senescence,SASP,ENSG00000196924,ENSMUSG00000031328
130,FN1,Senescence,SASP,ENSG00000115414,ENSMUSG00000026193
131,GSN,Senescence,SASP,ENSG00000148180,ENSMUSG00000026879
132,GSTP1,Senescence,SASP,ENSG00000084207,ENSMUSG00000060803
133,HSPA1A,Senescence,SASP,ENSG00000234475,ENSMUSG00000091971
134,HSPA8,Senescence,SASP,ENSG00000109971,ENSMUSG00000015656
135,ICAM3,Senescence,SASP_Intracellular,ENSG00000076662,
136,IGFBP2,Senescence,SASP_Secreted,ENSG00000115457,ENSMUSG00000039323
137,IL15,Senescence,SASP_Secreted,ENSG00000164136,ENSMUSG00000031712
138,IL1R1,Senescence,SASP,ENSG00000115594,ENSMUSG00000026072
139,IL2,Senescence,SASP_Secreted,ENSG00000109471,ENSMUSG00000027720
140,IL9,Senescence,SASP,ENSG00000145839,ENSMUSG00000021538
141,LAMB1,Senescence,SASP,ENSG00000091136,ENSMUSG00000002900
142,MMP1,Senescence,SASP_Secreted,ENSG00000196611,
143,MMP7,Senescence,SASP,ENSG00000137673,ENSMUSG00000018623
144,MOK,Senescence,SASP,ENSG00000080823,ENSMUSG00000056458
145,MPO,Senescence,SASP,ENSG00000005381,ENSMUSG00000009350
146,PARK7,Senescence,SASP,ENSG00000116288,ENSMUSG00000028964
147,PGK1,Senescence,SASP,ENSG00000102144,ENSMUSG00000062070
148,PLAT,Senescence,SASP_Secreted,ENSG00000104368,ENSMUSG00000031538
149,PLAU,Senescence,SASP_Secreted,ENSG00000122861,ENSMUSG00000021822
150,RB1,Senescence,Cell cycle arrest,ENSG00000139687,ENSMUSG00000022105
151,SERPINE2,Senescence,SASP_Secreted,ENSG00000135919,ENSMUSG00000026249
152,SERPING1,Senescence,SASP,ENSG00000149131,ENSMUSG00000023224
153,SOST,Senescence,SASP,ENSG00000167941,ENSMUSG00000001494
154,STC1,Senescence,SASP,ENSG00000159167,ENSMUSG00000014813
155,THBS1,Senescence,SASP,ENSG00000137801,ENSMUSG00000040152
156,TIMP1,Senescence,SASP,ENSG00000102265,ENSMUSG00000001131
157,TNFRSF1A,Senescence,SASP_Transmembrane,ENSG00000067182,ENSMUSG00000030341
158,TNFRSF1B,Senescence,SASP_Transmembrane,ENSG00000028137,ENSMUSG00000028599
159,YWHAQ,Senescence,SASP,ENSG00000134308,ENSMUSG00000076432
160,CD40LG,Senescence,Cell surface markers,ENSG00000102245,ENSMUSG00000031132
161,CD63,Senescence,Cell surface markers,ENSG00000135404,ENSMUSG00000025351
162,ERCC1,Senescence,DNA damage response,ENSG00000012061,ENSMUSG00000003549
163,ERCC4,Senescence,DNA damage response,ENSG00000175595,ENSMUSG00000022545
164,GCA,Senescence,Metabolic adaptations,ENSG00000115271,ENSMUSG00000026893
165,GDF3,Senescence,Metabolic adaptations,ENSG00000184344,ENSMUSG00000030117
166,MAPK14,Senescence,SASP,ENSG00000112062,ENSMUSG00000053436
167,NLRP3,Senescence,SASP,ENSG00000162711,ENSMUSG00000032691
168,SELP,Senescence,Cell surface markers,ENSG00000174175,ENSMUSG00000026580
169,CASP1,Senescence,SASP,ENSG00000137752,ENSMUSG00000025888
170,CDK4,Senescence,SASP,ENSG00000135446,ENSMUSG00000006728
171,CDKN1B,Senescence,Cell cycle arrest,ENSG00000111276,ENSMUSG00000003031
172,CEBPA,Senescence,SASP,ENSG00000245848,ENSMUSG00000034957
173,CXCL9,Senescence,SASP,ENSG00000138755,ENSMUSG00000029417
174,GSK3B,Senescence,Metabolic adaptations,ENSG00000082701,ENSMUSG00000022812
175,HSPA5,Senescence,SASP,ENSG00000044574,ENSMUSG00000026864
176,IRF5,Senescence,SASP,ENSG00000128604,ENSMUSG00000029771
177,JDP2,Senescence,SASP,ENSG00000140044,ENSMUSG00000034271
178,MIR146A,Senescence,SASP,ENSG00000283733,
179,MIR21,Senescence,SASP,ENSG00000284190,
180,NOX1,Senescence,DNA damage response,ENSG00000007952,ENSMUSG00000031257
181,NPRL3,Senescence,SASP,ENSG00000103148,ENSMUSG00000020289
182,PTGS1,Senescence,SASP,ENSG00000095303,ENSMUSG00000047250
183,PTGS2,Senescence,SASP,ENSG00000073756,ENSMUSG00000032487
184,WNT9A,Senescence,SASP,ENSG00000143816,ENSMUSG00000000126
185,CXCL5,Senescence,SASP,ENSG00000163735,ENSMUSG00000029371
186,HMGA1,Senescence,DNA damage response,ENSG00000137309,ENSMUSG00000046711
187,IFNA1,Senescence,SASP,ENSG00000197919,ENSMUSG00000095498
188,IRF7,Senescence,SASP,ENSG00000185507,ENSMUSG00000025498
189,MACROH2A1,Senescence,Nuclear changes,ENSG00000113648,ENSMUSG00000015937
190,PDGFB,Senescence,SASP,ENSG00000100311,ENSMUSG00000000489
191,BCL2L1,Senescence,SASP,ENSG00000171552,ENSMUSG00000007659
192,IL10,Senescence,SASP_Secreted,ENSG00000136634,ENSMUSG00000016529
193,MMP8,Senescence,SASP,ENSG00000118113,ENSMUSG00000005800
194,AKT1,Senescence,SASP,ENSG00000142208,ENSMUSG00000001729
195,BAX,Senescence,Upregulation of anti-apoptotic pathways,ENSG00000087088,ENSMUSG00000003873
196,CASP3,Senescence,Upregulation of anti-apoptotic pathways,ENSG00000164305,ENSMUSG00000031628
197,CBX1,Senescence,Nuclear changes,ENSG00000108468,ENSMUSG00000018666
198,CBX3,Senescence,Nuclear changes,ENSG00000122565,ENSMUSG00000029836
199,CBX5,Senescence,Nuclear changes,ENSG00000094916,ENSMUSG00000009575
200,CD74,Senescence,SASP,ENSG00000019582,ENSMUSG00000024610
201,CRLF1,Senescence,SASP,ENSG00000006016,ENSMUSG00000007888
202,CXCL3,Senescence,SASP_Secreted,ENSG00000163734,ENSMUSG00000029379
203,HMGA2,Senescence,Nuclear changes,ENSG00000149948,ENSMUSG00000056758
204,PTEN,Senescence,Cell cycle arrest,ENSG00000171862,ENSMUSG00000013663
