,Module_1,Module_2,Module_3,Module_4,Module_5,Module_6,Module_7,Module_8,Module_9,Module_10,Module_11,Module_12,Module_13,Module_14,Module_15,Module_16,Module_17,Module_18,Module_19,Module_20,Module_21,Module_22,Module_23,Module_24,Module_25,Module_26,Module_27,Module_28,Module_29,Module_30,Module_31,Module_32,Module_33,Module_34,Module_35,Module_36,Module_37,Module_38,Module_39,Module_40,Module_41,Module_42,Module_43,Module_44,Module_45,Module_46,Module_47,Module_48,Module_49,Module_50,Module_51
ERX3015952_ERX3015952,-0.14523733377150236,-0.17987692334474387,0.5787900563385149,-0.09256802708307788,-0.05425549032302626,0.02376887224111493,-0.19533905327419204,-0.018326763416845124,0.1786864309825054,-0.04242906144329315,-0.4054023022602877,0.5388386820073183,-0.22943479231607547,0.2444282392792739,-0.19145607240729606,-1.0941774281645855,-0.5347257619254069,-0.8901718491602935,-0.28722721047108235,-0.350790469864265,0.5248376309257106,-0.06387854171460182,-0.05777318315861562,1.298455365737508,-0.30193988408408506,-0.06598216926997823,0.05394373281067577,0.8444261089846794,0.3015903968606589,0.37091633638879884,-0.28336111463605534,-0.1852029101744124,0.9051094162942543,0.597867889305851,-0.2586097714863548,0.05893207440433157,-0.07529698174503227,0.19180463976281548,-0.7856228949252142,0.5782969926672248,0.7455378961684866,1.3726358772862142,-0.20159636951997775,0.504613479546173,0.30175119306807585,-1.0989051126632197,0.023684933791329854,-0.11294003091931248,0.8842513429081322,-5.123567084291777,0.39471428298187683
ERX3015953_ERX3015953,0.09910391622849765,0.28359672265525615,-0.13039090366148515,-0.025546237083077905,-0.05425549032302626,0.507259322241115,0.1333063450390949,-0.053670286872065986,-0.04518683901749464,-0.04242906144329315,-0.23953408876041826,-0.10951138799268179,-0.037893301402271956,-0.28526481772952994,-0.19145607240729606,-0.7951898766952952,-0.12558396141184852,-0.4741982861951125,-0.8131557092374446,-0.7989621071335313,-0.3061492508989758,-0.06387854171460182,-0.05777318315861562,0.4112819539407875,-0.30193988408408506,-0.06598216926997823,-0.7402171749238389,-0.29634289101532074,-0.050369770782765555,0.3461101522086154,-0.2907979724339996,-0.1852029101744124,0.08838100042256514,0.31568175880231564,0.6601392561173944,-0.06432414246689655,0.000851448254967746,-0.4815203214450956,0.032082358521081766,0.7166860727542024,-0.05203495608459918,-1.6347268909443626,-0.6762106302541293,-0.19554526045382692,0.5762385190068093,-1.0465922257659936,0.5524393145881401,0.025826257494303118,0.10553406059924786,-1.45150361856252,0.34886628298187683
ERX3015954_ERX3015954,-0.14523733377150236,-0.17396181734474386,-0.13039090366148515,-0.03969851708307787,-0.05425549032302626,0.411566462241115,1.3186862861844884,0.1245572628454075,-0.13094772901749463,-0.04242906144329315,-0.5951453617010659,-0.006583117992681742,-0.05925030868142883,-0.07478932470924718,-0.04138134363037199,-0.45061676954496316,-0.11969892393799048,-0.4393972414537517,-0.14543578858878725,0.02785716201507671,-0.03500010385237484,-0.06387854171460182,-0.05777318315861562,0.3993484268456704,-0.30193988408408506,-0.06598216926997823,0.22428801297914802,0.020076428984679262,0.31832198177358895,-0.2676974941303629,-0.25778953811512473,0.056869819825587586,0.09527607060099408,0.18524906562290586,0.9801541015130231,-0.17312574277211357,0.015328588254967745,-0.24722143670398822,-0.18110754264234685,0.8289116109876518,-0.07134812595859774,-1.6499386372180715,-0.9350304628665751,-0.25863642045382695,0.6482256494081089,-0.1333869982274919,0.49339140563805994,-0.34811377450637454,0.7128327923863298,-0.276628985436651,0.4467962829818769
ERX3015955_ERX3015955,-0.09249322977150236,-0.18790863734474386,-0.13039090366148515,0.20076276291692213,-0.016299686323026266,0.5695696222411148,1.370259148642581,-0.053670286872065986,-0.13094772901749463,-0.04242906144329315,-0.34078073228015804,-0.18280091799268183,-0.06997603135821115,-0.22156794746777453,-0.18361589398936215,-0.27452732277982345,0.22458144426533433,-0.30307286139459566,-0.31918198020121435,-0.3054679253340813,0.04931110137063688,-0.06387854171460182,-0.05777318315861562,0.30498884746120325,-0.014998912812610399,-0.06598216926997823,-0.35244608382821896,-0.29634289101532074,0.20806671863363735,0.22267978971895008,-0.2907979724339996,-0.1698478741744124,0.18412815293884432,0.5576261451043565,0.9904747467974311,-0.39056833014811576,-0.3112744817450323,-1.3518293397569972,-0.19101647641727793,0.7868918105105536,-0.1485635990465477,-2.198023890418414,-0.7460070919355587,-0.25863642045382695,0.5141043701739283,-1.2948447949160218,0.7229818015534757,-0.5042087864930657,0.26134627324748183,0.294482668210605,-0.28629481701812315
ERX3015956_ERX3015956,0.5102929662284976,-0.05470216734474387,0.043546846338514855,0.0458142429169221,-0.05425549032302626,0.06847497224111493,0.44473602900946596,-0.053670286872065986,-0.13094772901749463,-0.04242906144329315,0.26927098894547563,0.10506488200731812,-0.18698234053575338,-0.11961045581227575,-0.19145607240729606,-0.40633305374814827,0.4821173152337721,-0.33101255833398224,0.044107096995610884,-0.4545164827803294,-0.08365424327785553,-0.04040929971460182,-0.05777318315861562,-0.03182524096643213,-0.2784924623740865,0.5513008689118004,0.055864136233235606,-0.29634289101532074,0.8338413151121171,0.2774497511475942,-0.2512791237308348,-0.1852029101744124,1.5413834723235253,0.18349661662537295,0.44629660407691185,-0.7038775404288882,0.04462188825496771,-0.21614654705110858,-0.030583751052426056,0.589670942469557,0.5498659081422783,-1.2059435996694865,-0.6241172358753109,-0.18981728645382692,-0.47209379290467846,-0.5015313465890705,0.5746766824377345,-0.5572361479891318,-0.06190700975349328,0.14343891070381742,-0.13251533701812312
ERX3015958_ERX3015958,-0.13144913777150236,0.25381552265525614,-0.03763686866148515,0.03197729291692214,0.16882682967697374,-0.21855817775888506,1.257300730319595,0.032370606557315156,-0.13094772901749463,-0.04242906144329315,0.5748539885415969,0.21194328200731816,-0.10197295618007302,-0.01955474176588165,0.2677224533049488,-0.4814355123338712,0.09587087665199046,-0.337853014498942,0.01634845127931861,-0.282222780790804,0.023468517872022976,0.05387001828539818,-0.05777318315861562,0.08160152372886964,-0.30193988408408506,-0.06598216926997823,0.1901909878153556,0.0016233089846792725,0.16112127861935877,1.0185411821291215,-0.22660044164517495,-0.1852029101744124,1.3323930767477674,0.4733393857664159,0.9009262991883258,-0.48032649403755245,0.09408921825496774,-0.06908166112321412,0.25684639457615743,0.5016372957964583,-0.6585135648935145,-1.2007546916707643,-0.3700675718642348,-0.20458605445382694,0.026839342275275513,0.5049031446674696,0.10777104392394521,-0.2628616108233389,0.6107096837912975,1.627512290643905,1.2918708829818768
ERX3015950_ERX3015950,-0.12316665977150236,-0.18790863734474386,0.14996134633851485,-0.00011500708307787821,-0.05425549032302626,0.17712222224111496,0.6064112483157427,-0.030144477313418853,-0.13094772901749463,0.22945699855670687,0.1458357691441613,-0.1444732679926818,-0.2247008116201495,-0.47297123575078803,-0.19145607240729606,0.02035200342250139,-0.02185774788984418,-0.3954746338874747,-0.343419436607027,-0.2916404687572234,-0.05246277137356403,-0.06387854171460182,-0.05777318315861562,0.27528018856980996,0.027450813256221507,-0.06598216926997823,-0.32311026547602784,-0.11796824101532072,-0.0009319706352756141,0.7908924555162749,0.08406181357613607,-0.1852029101744124,1.2444107607205748,0.11258869853708811,0.4782511997560015,-0.5389706082389732,-0.12824292174503227,0.050378317362612446,0.0890779029821761,0.42051342398844427,-0.15360120145177936,-1.4907057232783278,-0.4117986017115769,-0.034640740453826924,-0.6942356091174426,-1.4384203871078536,0.05570584764019726,0.1115969724218473,0.060397043466657196,-0.1713326019106507,-0.09401400701812312
ERX3015957_ERX3015957,-0.12472894377150236,-0.18790863734474386,-0.13039090366148515,0.3349661629169221,-0.05425549032302626,-0.21855817775888506,-0.21677244939176088,-0.053670286872065986,-0.019926399017494628,0.43244943855670687,0.22622224497609655,0.2228324820073182,-0.06575416938567316,-0.5616764661339113,-0.19145607240729606,-0.25122566645663624,-0.09732848243892273,-0.807571547988294,0.9159799201446542,0.3335424631772421,0.019798680600269125,-0.06387854171460182,-0.05777318315861562,0.7677178412506263,-0.30193988408408506,-0.06598216926997823,0.31662363961095674,-0.2557373070153207,0.2162062026070879,1.2881167335078456,-0.2907979724339996,-0.1852029101744124,1.0444772380571863,0.6817303173842195,0.502400459338384,0.22436362437413915,-0.3112744817450323,0.5319146405043229,-0.15538247268527516,0.6568497431944937,-0.7373643717920708,0.878964792076913,-0.25460580622879336,-0.25175411445382695,-0.32292595989398154,-0.12563831054882144,0.15247257808865178,-0.4966158484755218,0.20376705574667242,-0.40413989177889825,0.34348304298187693
ERX3015959_ERX3015959,-0.14523733377150236,-0.18790863734474386,0.01139551633851485,-0.1446775570830779,-0.05425549032302626,-0.12895381775888506,-0.14230915308158532,-0.053670286872065986,-0.11929903001749463,-0.04242906144329315,0.2696239214294457,0.3151886820073182,-0.06386588571654955,-0.37685714532318393,0.1470639180156133,-0.8744695995964027,0.5784174479345623,-0.28949835197962503,0.1630011673297297,-0.5059452706002923,-0.07659818668984925,-0.06387854171460182,-0.05777318315861562,0.617069398355746,-0.30193988408408506,-0.06598216926997823,0.07766764917219693,-0.12450616101532072,0.6340308403212671,1.043034798316003,0.0244848613718765,-0.1852029101744124,0.8018297440153817,-0.19628820227929492,0.233853753715751,0.5983557494580896,0.3973356482549677,0.6134870562682093,0.1698712154249089,-0.04113597458391638,0.40131023023923273,0.10516889289657215,-0.16886862488968024,0.1096637295461731,0.31537131149004405,0.5267797594576736,0.39870919776402536,-0.5715966524402305,0.1838245495407238,-0.2943693851497496,-0.11445808701812313
ERX3015961_ERX3015961,-0.13247858277150237,-0.09011887734474386,-0.13039090366148515,0.625514062916922,-0.05425549032302626,-0.21855817775888506,0.8269729475590442,-0.053670286872065986,-0.13094772901749463,-0.04242906144329315,0.07586352828642529,0.2657711820073183,-0.07005605372818696,0.016840882406103402,-0.19145607240729606,-0.27547587595761197,0.1336172657886816,-0.9641055645389087,-0.33711128451337324,0.0928090721383732,0.057495869198191385,-0.06387854171460182,-0.040450213509999014,0.24937160928273472,-0.2891929954035786,-0.06598216926997823,-0.10160794479862634,-0.21026664101532072,0.35827821029108176,1.7251367487742169,-0.2665438774616415,-0.1852029101744124,1.4111376958621245,-0.20440697882667533,0.6090339340232671,0.14322973700091368,0.4266193482549677,0.4583054186356508,-0.12751607929354358,0.6485471689471631,0.1658585021135046,0.28152100764235916,-0.2957362426447956,0.305339579546173,-0.0627154193289543,-0.26098455397846143,0.0019225278356961306,-0.5443439409923398,0.5682965379247027,0.735879750877864,-0.14297668701812313
